hostname,ip_address,status,response_time,last_tested_at,description,pendencies,failure_reason
algschx01,10.51.2.9,connected,299,2025-09-10 16:36:09,Conectividade OK via bastion,,
porgwpx02,10.51.21.12,connected,181,2025-09-10 14:41:09,Conectividade OK via bastion,,
portepx01,10.51.21.13,connected,377,2025-09-10 15:40:09,Conectividade OK via bastion,,
portepx02,10.51.21.14,pending,,,Aguardando liberação de firewall,Abrir porta 22 no firewall,
bdahomapp02,10.51.21.143,pending,,,Aguardando liberação de firewall,Abrir porta 22 no firewall,
portepx03,10.51.21.15,connected,210,2025-09-10 15:06:09,Conectividade OK via bastion,,
portmpx01,10.51.21.16,pending,,,Aguardando credenciais,Provisionar e distribuir credenciais,
portmpx02,10.51.21.17,pending,,,Aguardando liberação de firewall,Abrir porta 22 no firewall,
portmpx03,10.51.21.18,pending,,,Aguardando credenciais,Provisionar e distribuir credenciais,
portmpx04,10.51.21.19,connected,275,2025-09-10 11:04:09,Conectividade OK via bastion,,
sgprec01_NEW,10.51.21.37,connected,46,2025-09-10 13:03:09,Conectividade OK via bastion,,
sgp02hom,10.51.21.39,connected,225,2025-09-10 15:22:09,Conectividade OK via bastion,,
sgp01hom,10.51.21.40,pending,,,Aguardando liberação de firewall,Abrir porta 22 no firewall,
crm-prd-cache01New,10.51.23.139,connected,333,2025-09-10 11:02:09,Conectividade OK via bastion,,
crm-prd-cache02New,10.51.23.140,not_tested,,,Servidor novo ainda não testado,Fazer primeiro teste SSH,
crm-prd-app01,10.51.23.141,connected,127,2025-09-10 10:06:09,Conectividade OK via bastion,,
VM_crm-prd-app02,10.51.23.142,connected,55,2025-09-10 08:17:09,Conectividade OK via bastion,,
crm-prd-adm01,10.51.23.143,connected,347,2025-09-10 14:54:09,Conectividade OK via bastion,,
crm-prd-solar02,10.51.23.146,pending,,,Aguardando credenciais,Provisionar e distribuir credenciais,
com-prd-app01,10.51.23.149,connected,300,2025-09-10 11:12:09,Conectividade OK via bastion,,
com-prd-app02,10.51.23.150,connected,351,2025-09-10 11:53:09,Conectividade OK via bastion,,
b2c-dashboard01,10.51.23.151,connected,44,2025-09-10 07:55:09,Conectividade OK via bastion,,
com-prd-srv01,10.51.23.153,connected,103,2025-09-10 10:43:09,Conectividade OK via bastion,,
com-prd-srv02,10.51.23.154,connected,91,2025-09-10 15:47:09,Conectividade OK via bastion,,
com-prd-cache01,10.51.23.155,failed,0,2025-09-09 23:12:09,Chave rejeitada pelo servidor,Autorizar chave pública no servidor,key_rejected
com-prd-cache02,10.51.23.156,connected,196,2025-09-10 11:40:09,Conectividade OK via bastion,,
cont-prd-app01,10.51.23.158,connected,271,2025-09-10 10:54:09,Conectividade OK via bastion,,
cont-prd-app02,10.51.23.159,connected,148,2025-09-10 14:36:09,Conectividade OK via bastion,,
crm-prd-rules02,10.51.23.161,connected,174,2025-09-10 11:32:09,Conectividade OK via bastion,,
crm-prd-app03,10.51.23.162,connected,139,2025-09-10 12:42:09,Conectividade OK via bastion,,
b2c-prd-maestro01,10.51.23.164,connected,250,2025-09-10 17:15:09,Conectividade OK via bastion,,
b2c-prd-maestro02,10.51.23.165,connected,356,2025-09-10 08:43:09,Conectividade OK via bastion,,
b2c-prd-maestro03,10.51.23.166,connected,257,2025-09-10 17:05:09,Conectividade OK via bastion,,
som-prd-app01,10.51.23.167,failed,0,2025-09-10 16:23:09,Chave rejeitada pelo servidor,Autorizar chave pública no servidor,key_rejected
som-prd-app02,10.51.23.168,connected,358,2025-09-10 07:33:09,Conectividade OK via bastion,,
som-prd-wf01,10.51.23.169,pending,,,Aguardando credenciais,Provisionar e distribuir credenciais,
som-prd-wf02,10.51.23.170,connected,348,2025-09-10 17:11:09,Conectividade OK via bastion,,
b2c-indexer01,10.51.23.171,connected,293,2025-09-10 08:25:09,Conectividade OK via bastion,,
b2c-indexer02,10.51.23.172,failed,0,2025-09-10 14:03:09,Timeout na conexão,Verificar latência e ACLs,timeout
crm-prd-app04,10.51.23.177,connected,131,2025-09-10 15:07:09,Conectividade OK via bastion,,
crm-prd-rules03,10.51.23.180,connected,183,2025-09-10 15:24:09,Conectividade OK via bastion,,
VM_monitoramento-algarcrm-prd01,10.51.23.182,connected,105,2025-09-10 18:41:09,Conectividade OK via bastion,,
crm-prd-ws02,10.51.23.184,connected,190,2025-09-10 14:53:09,Conectividade OK via bastion,,
crm-prd-ws04,10.51.23.186,failed,0,2025-09-10 11:45:09,Falha na autenticação,Configurar chave/credenciais SSH corretas,auth_failed
crm-prd-rules04,10.51.23.187,not_tested,,,Servidor novo ainda não testado,Fazer primeiro teste SSH,
crm-prd-job03,10.51.23.190,connected,350,2025-09-10 19:14:09,Conectividade OK via bastion,,
crm-prd-rules05,10.51.23.191,connected,394,2025-09-10 14:16:09,Conectividade OK via bastion,,
crm-prd-rules06,10.51.23.192,connected,60,2025-09-10 09:04:09,Conectividade OK via bastion,,
crm-prd-jms01,10.51.23.195,failed,0,2025-09-10 18:42:09,Rede inacessível,Corrigir rota/VPN/rede,network_unreachable
crm-prd-jms02,10.51.23.196,not_tested,,,Servidor novo ainda não testado,Fazer primeiro teste SSH,
b2c-prd-maestro04,10.51.23.198,connected,355,2025-09-10 14:03:09,Conectividade OK via bastion,,
b2c-prd-maestro05,10.51.23.199,connected,273,2025-09-10 10:37:09,Conectividade OK via bastion,,
b2c-prd-maestro06,10.51.23.200,connected,337,2025-09-10 11:11:09,Conectividade OK via bastion,,
som-prdv2-cache01,10.51.23.202,connected,185,2025-09-10 12:29:09,Conectividade OK via bastion,,
som-prdv2-cache02,10.51.23.203,pending,,,Aguardando liberação de firewall,Abrir porta 22 no firewall,
som-prdv2-service01,10.51.23.204,connected,288,2025-09-10 08:12:09,Conectividade OK via bastion,,
som-prdv2-service02,10.51.23.205,failed,0,2025-09-10 01:33:09,Falha desconhecida,Executar diagnóstico manual,unknown
som-prdv2-service03,10.51.23.206,pending,,,Aguardando liberação de firewall,Abrir porta 22 no firewall,
som-prdv2-view01,10.51.23.207,pending,,,Aguardando credenciais,Provisionar e distribuir credenciais,
som-prdv2-view02,10.51.23.208,pending,,,Aguardando credenciais,Provisionar e distribuir credenciais,
som-prdv2-view03,10.51.23.209,failed,0,2025-09-10 16:21:09,Timeout na conexão,Verificar latência e ACLs,timeout
IDP-PLSAML01,10.51.23.210,pending,,,Aguardando liberação de firewall,Abrir porta 22 no firewall,
IDP-PLSAML02,10.51.23.211,connected,227,2025-09-10 11:42:09,Conectividade OK via bastion,,
IDP-PLXACML01,10.51.23.212,connected,199,2025-09-10 10:30:09,Conectividade OK via bastion,,
IDP-PLXACML02,10.51.23.213,not_tested,,,Servidor novo ainda não testado,Fazer primeiro teste SSH,
IDP-PLMTG01,10.51.23.214,connected,283,2025-09-10 13:42:09,Conectividade OK via bastion,,
crm-hom-app01,10.51.24.10,failed,0,2025-09-10 05:29:09,Timeout na conexão,Verificar latência e ACLs,timeout
crm-hom-cache01,10.51.24.11,connected,330,2025-09-10 08:13:09,Conectividade OK via bastion,,
crm-hom-cache02,10.51.24.13,pending,,,Aguardando credenciais,Provisionar e distribuir credenciais,
crm-hom-adm01,10.51.24.14,connected,249,2025-09-10 17:23:09,Conectividade OK via bastion,,
com-hom-app01,10.51.24.16,failed,0,2025-09-10 12:43:09,Falha na autenticação,Configurar chave/credenciais SSH corretas,auth_failed
com-hom-srv01,10.51.24.18,pending,,,Aguardando liberação de firewall,Abrir porta 22 no firewall,
com-hom-cache01,10.51.24.19,connected,351,2025-09-10 13:49:09,Conectividade OK via bastion,,
com-hom-srv02,10.51.24.22,connected,273,2025-09-10 13:08:09,Conectividade OK via bastion,,
com-hom-cache02,10.51.24.23,connected,274,2025-09-10 16:01:09,Conectividade OK via bastion,,
crm-hom-solar01,10.51.24.26,failed,0,2025-09-10 13:23:09,Falha na autenticação,Configurar chave/credenciais SSH corretas,auth_failed
crm-hom-solar02,10.51.24.27,pending,,,Aguardando liberação de firewall,Abrir porta 22 no firewall,
cont-hom-app01,10.51.24.29,connected,250,2025-09-10 14:27:09,Conectividade OK via bastion,,
cont-hom-app02,10.51.24.30,not_tested,,,Servidor novo ainda não testado,Fazer primeiro teste SSH,
crm-hom-rules02,10.51.24.32,connected,159,2025-09-10 18:20:09,Conectividade OK via bastion,,
b2c-hom-maestro01,10.51.24.33,pending,,,Aguardando liberação de firewall,Abrir porta 22 no firewall,
b2c-hom-maestro02,10.51.24.34,connected,86,2025-09-10 14:35:09,Conectividade OK via bastion,,
som-hom-app02,10.51.24.36,not_tested,,,Servidor novo ainda não testado,Fazer primeiro teste SSH,
som-hom-wf01,10.51.24.37,connected,245,2025-09-10 17:03:09,Conectividade OK via bastion,,
crm-hom-visao01,10.51.24.44,connected,104,2025-09-10 16:09:09,Conectividade OK via bastion,,
crm-hom-visao02,10.51.24.46,pending,,,Aguardando liberação de firewall,Abrir porta 22 no firewall,
crm-hom-app03,10.51.24.47,failed,0,2025-09-10 10:48:09,Rede inacessível,Corrigir rota/VPN/rede,network_unreachable
b2c-hom-indexer01,10.51.24.48,connected,367,2025-09-10 15:16:09,Conectividade OK via bastion,,
b2c-hom-indexer02,10.51.24.49,connected,161,2025-09-10 17:53:09,Conectividade OK via bastion,,
crm-hom-jms01,10.51.24.50,connected,121,2025-09-10 15:38:09,Conectividade OK via bastion,,
crm-hom-jms02,10.51.24.51,failed,0,2025-09-10 05:28:09,Conexão recusada,Verificar e iniciar serviço SSH,connection_refused
VM_jenkings-devops,10.51.24.52,connected,48,2025-09-10 19:05:09,Conectividade OK via bastion,,
IDP-HLSAM01,10.51.24.53,failed,0,2025-09-09 22:02:09,Conexão recusada,Verificar e iniciar serviço SSH,connection_refused
IDP-HLSAM02,10.51.24.54,failed,0,2025-09-10 04:45:09,Timeout na conexão,Verificar latência e ACLs,timeout
IDP-HLXACML01,10.51.24.55,connected,256,2025-09-10 09:17:09,Conectividade OK via bastion,,
IDP-HLXACML02,10.51.24.56,failed,0,2025-09-10 00:23:09,Chave rejeitada pelo servidor,Autorizar chave pública no servidor,key_rejected
som-hmlv2-cache02,10.51.24.61,pending,,,Aguardando liberação de firewall,Abrir porta 22 no firewall,
som-hmlv2-service01,10.51.24.62,failed,0,2025-09-10 13:47:09,Rede inacessível,Corrigir rota/VPN/rede,network_unreachable
som-hmlv2-service02,10.51.24.63,connected,86,2025-09-10 10:17:09,Conectividade OK via bastion,,
crm-tit-solar01,10.51.25.137,connected,167,2025-09-10 12:04:09,Conectividade OK via bastion,,
crm-tst-solar01,10.51.25.140,connected,273,2025-09-10 14:27:09,Conectividade OK via bastion,,
IDP-TIT-PLAPP01,10.51.25.146,connected,309,2025-09-10 18:52:09,Conectividade OK via bastion,,
b2c-jenkins,10.51.25.152,connected,360,2025-09-10 12:12:09,Conectividade OK via bastion,,
cont-tst-app01,10.51.25.159,connected,387,2025-09-10 17:05:09,Conectividade OK via bastion,,
cont-tit-app01,10.51.25.160,failed,0,2025-09-10 04:02:09,Falha desconhecida,Executar diagnóstico manual,unknown
b2c-jenkins02_NEW,10.51.25.165,failed,0,2025-09-10 10:58:09,Chave rejeitada pelo servidor,Autorizar chave pública no servidor,key_rejected
b2c-tit-maestro01,10.51.25.171,connected,132,2025-09-10 14:01:09,Conectividade OK via bastion,,
b2c-tst-maestro01,10.51.25.172,connected,205,2025-09-10 13:56:09,Conectividade OK via bastion,,
som-tit-app01,10.51.25.174,failed,0,2025-09-10 01:08:09,Falha desconhecida,Executar diagnóstico manual,unknown
