hostname,ip_address,status,error,collected_at,os_family,distro_id,distro_pretty_name,distro_version_id,kernel,init_system,services_running_count,services_sample,pkg_manager,pkg_count,pkg_sample,python_installed,python_version,zabbix_agent_installed,zabbix_agent_version,qualys_agent_installed,qualys_agent_version
gifeprd01_NEW,10.11.128.234,ok,,2025-09-11 07:40:19,linux,centos,CentOS Linux 7 (Core),7,3.10.0-1160.41.1.el7.x86_64,systemd,26,atd.service;auditd.service;crond.service;dbus.service;getty@tty1.service;gssproxy.service;irqbalance.service;konea.service;kschedulerconsole.service;lvm2-lvmetad.service;netbackup.service;ntpd.service;polkit.service;qualys-cloud-agent.service;rpcbind.service;rsyslog.service;sshd.service;systemd-journald.service;systemd-logind.service;systemd-udevd.service;traps_pmd.service;tuned.service;vgauthd.service;vmtoolsd.service;vxpbx_exchanged.service;zabbix-agent2.service,rpm,729,GeoIP;NetworkManager;NetworkManager-libnm;NetworkManager-team;NetworkManager-tui;NetworkManager-wifi;VRTSnbcfg;VRTSnbclt;VRTSnbjava;VRTSnbjre;VRTSnbpck;VRTSpbx;VRTSpddea;acl;adobe-mappings-cmap;adobe-mappings-cmap-deprecated;adobe-mappings-pdf;aic94xx-firmware;alsa-firmware;alsa-lib;alsa-tools-firmware;ampagent;apr;apr-util;at;atk;atop;audit;audit-libs;augeas-libs,yes,2.7.5,yes,5.0.0,yes,7.2.0
guardians-app-hom01,10.32.15.11,ok,,2025-09-11 07:40:20,linux,centos,CentOS Linux 7 (Core),7,3.10.0-514.26.2.el7.x86_64,systemd,23,auditd.service;crond.service;dbus.service;getty@tty1.service;gssproxy.service;irqbalance.service;lvm2-lvmetad.service;NetworkManager.service;ntpd.service;oddjobd.service;polkit.service;postfix.service;qualys-cloud-agent.service;rpc-gssd.service;rpcbind.service;rsyslog.service;sshd.service;sssd.service;systemd-journald.service;systemd-logind.service;systemd-udevd.service;traps_pmd.service;tuned.service,rpm,410,GeoIP;NetworkManager;NetworkManager-libnm;NetworkManager-team;NetworkManager-tui;NetworkManager-wifi;acl;aic94xx-firmware;alsa-firmware;alsa-lib;alsa-tools-firmware;audit;audit-libs;authconfig;autofs;autogen-libopts;avahi-libs;basesystem;bash;bind-libs;bind-libs-lite;bind-license;bind-utils;binutils;biosdevname;btrfs-progs;bzip2-libs;c-ares;ca-certificates;centos-logos,yes,2.7.5,no,,yes,7.2.0
ecomm03_NEW,10.50.17.29,ok,,2025-09-11 07:40:20,linux,centos,CentOS Linux 7 (Core),7,3.10.0-1160.41.1.el7.x86_64,systemd,25,atd.service;auditd.service;crond.service;dbus.service;getty@tty1.service;gssproxy.service;irqbalance.service;konea.service;kschedulerconsole.service;lvm2-lvmetad.service;netbackup.service;polkit.service;qualys-cloud-agent.service;rpcbind.service;rsyslog.service;sshd.service;systemd-journald.service;systemd-logind.service;systemd-udevd.service;traps_pmd.service;tuned.service;vgauthd.service;vmtoolsd.service;vxpbx_exchanged.service;zabbix-agent.service,rpm,730,GeoIP;NetworkManager;NetworkManager-libnm;NetworkManager-team;NetworkManager-tui;NetworkManager-wifi;VRTSnbcfg;VRTSnbclt;VRTSnbjava;VRTSnbjre;VRTSnbpck;VRTSpbx;VRTSpddea;acl;adobe-mappings-cmap;adobe-mappings-cmap-deprecated;adobe-mappings-pdf;aic94xx-firmware;alsa-firmware;alsa-lib;alsa-tools-firmware;ampagent;apr;apr-util;at;atk;atop;audit;audit-libs;augeas-libs,yes,2.7.5,yes,3.0.32,yes,7.2.0
algar-bsc-hom01,10.11.152.151,ok,,2025-09-11 07:40:20,linux,centos,CentOS Linux 7 (Core),7,3.10.0-1160.36.2.el7.x86_64,systemd,28,auditd.service;crond.service;dbus.service;getty@tty1.service;gssproxy.service;irqbalance.service;konea.service;kschedulerconsole.service;lvm2-lvmetad.service;netbackup.service;NetworkManager.service;oddjobd.service;polkit.service;postfix.service;qualys-cloud-agent.service;rpc-gssd.service;rpcbind.service;rsyslog.service;sshd.service;systemd-journald.service;systemd-logind.service;systemd-udevd.service;traps_pmd.service;tuned.service;vgauthd.service;vmtoolsd.service;vxpbx_exchanged.service;zabbix-agent.service,rpm,493,GeoIP;NetworkManager;NetworkManager-libnm;NetworkManager-team;NetworkManager-tui;NetworkManager-wifi;VRTSnbcfg;VRTSnbclt;VRTSnbjava;VRTSnbjre;VRTSnbpck;VRTSpbx;VRTSpddea;acl;aic94xx-firmware;alsa-firmware;alsa-lib;alsa-tools-firmware;ampagent;atop;audit;audit-libs;augeas-libs;authconfig;autofs;autogen-libopts;avahi-libs;basesystem;bash;bc,yes,2.7.5,yes,5.0.0,yes,7.2.0
dbatools-app01,10.11.136.109,ok,,2025-09-11 07:40:19,linux,centos,CentOS Linux 7 (Core),7,3.10.0-862.3.2.el7.x86_64,systemd,32,abrt-oops.service;abrtd.service;auditd.service;chronyd.service;crond.service;dbus.service;firewalld.service;getty@tty1.service;gssproxy.service;irqbalance.service;konea.service;kschedulerconsole.service;libstoragemgmt.service;lvm2-lvmetad.service;netbackup.service;NetworkManager.service;nrpe.service;polkit.service;qualys-cloud-agent.service;rpcbind.service;rsyslog.service;smartd.service;sshd.service;systemd-journald.service;systemd-logind.service;systemd-udevd.service;traps_pmd.service;tuned.service;vgauthd.service;vmtoolsd.service;vxpbx_exchanged.service;zabbix-agent.service,rpm,916,GeoIP;NetworkManager;NetworkManager-libnm;NetworkManager-team;NetworkManager-tui;NetworkManager-wifi;SDL;VRTSnbcfg;VRTSnbclt;VRTSnbjava;VRTSnbjre;VRTSnbpck;VRTSpbx;VRTSpddea;abrt;abrt-addon-ccpp;abrt-addon-kerneloops;abrt-addon-pstoreoops;abrt-addon-python;abrt-addon-vmcore;abrt-addon-xorg;abrt-cli;abrt-console-notification;abrt-dbus;abrt-libs;abrt-python;abrt-retrace-client;abrt-tui;acl;adwaita-cursor-theme,yes,2.7.5,yes,5.0.20,yes,7.2.0
srvphpdes01_NEW,10.11.135.109,ok,,2025-09-11 07:40:19,linux,centos,CentOS Linux 7 (Core),7,3.10.0-1160.41.1.el7.x86_64,systemd,25,atd.service;auditd.service;crond.service;dbus.service;getty@tty1.service;gssproxy.service;irqbalance.service;konea.service;kschedulerconsole.service;lvm2-lvmetad.service;netbackup.service;polkit.service;qualys-cloud-agent.service;rpcbind.service;rsyslog.service;sshd.service;systemd-journald.service;systemd-logind.service;systemd-udevd.service;traps_pmd.service;tuned.service;vgauthd.service;vmtoolsd.service;vxpbx_exchanged.service;zabbix-agent.service,rpm,730,GeoIP;NetworkManager;NetworkManager-libnm;NetworkManager-team;NetworkManager-tui;NetworkManager-wifi;VRTSnbcfg;VRTSnbclt;VRTSnbjava;VRTSnbjre;VRTSnbpck;VRTSpbx;VRTSpddea;acl;adobe-mappings-cmap;adobe-mappings-cmap-deprecated;adobe-mappings-pdf;aic94xx-firmware;alsa-firmware;alsa-lib;alsa-tools-firmware;ampagent;apr;apr-util;at;atk;atop;audit;audit-libs;augeas-libs,yes,2.7.5,yes,3.0.32,yes,7.0.0
algarcatprodtit,10.51.10.141,ok,,2025-09-11 07:40:20,linux,centos,CentOS Linux 7 (Core),7,3.10.0-1160.41.1.el7.x86_64,systemd,25,atd.service;auditd.service;crond.service;dbus.service;getty@tty1.service;gssproxy.service;irqbalance.service;konea.service;kschedulerconsole.service;lvm2-lvmetad.service;netbackup.service;polkit.service;qualys-cloud-agent.service;rpcbind.service;rsyslog.service;sshd.service;systemd-journald.service;systemd-logind.service;systemd-udevd.service;traps_pmd.service;tuned.service;vgauthd.service;vmtoolsd.service;vxpbx_exchanged.service;zabbix-agent2.service,rpm,729,GeoIP;NetworkManager;NetworkManager-libnm;NetworkManager-team;NetworkManager-tui;NetworkManager-wifi;VRTSnbcfg;VRTSnbclt;VRTSnbjava;VRTSnbjre;VRTSnbpck;VRTSpbx;VRTSpddea;acl;adobe-mappings-cmap;adobe-mappings-cmap-deprecated;adobe-mappings-pdf;aic94xx-firmware;alsa-firmware;alsa-lib;alsa-tools-firmware;ampagent;apr;apr-util;at;atk;atop;audit;audit-libs;augeas-libs,yes,2.7.5,yes,5.0.0,yes,7.2.0
kenanfx-01,10.32.14.174,ok,,2025-09-11 07:40:20,linux,rhel,Red Hat Enterprise Linux 8.5 (Ootpa),8.5,4.18.0-348.20.1.el8_5.x86_64,systemd,29,atd.service;auditd.service;chronyd.service;crond.service;dbus.service;getty@tty1.service;gssproxy.service;irqbalance.service;libstoragemgmt.service;mcelog.service;NetworkManager.service;oddjobd.service;polkit.service;qualys-cloud-agent.service;rhsmcertd.service;rpc-gssd.service;rpcbind.service;rsyslog.service;smartd.service;sshd.service;sssd.service;systemd-journald.service;systemd-logind.service;systemd-udevd.service;traps_pmd.service;tuned.service;vgauthd.service;vmtoolsd.service;zabbix-agent.service,rpm,666,NetworkManager;NetworkManager-libnm;NetworkManager-libreswan;NetworkManager-team;NetworkManager-tui;PackageKit;PackageKit-glib;abattis-cantarell-fonts;acl;adcli;at;attr;audit;audit-libs;augeas-libs;authselect;authselect-compat;authselect-libs;autofs;avahi-libs;basesystem;bash;bash-completion;bc;bind-libs;bind-libs-lite;bind-license;bind-utils;binutils;biosdevname,no,,yes,5.0.15,yes,7.2.0
cacti-prd-corp01,10.11.136.40,ok,,2025-09-11 07:40:19,linux,centos,CentOS Linux 7 (Core),7,3.10.0-1160.45.1.el7.x86_64,systemd,28,atd.service;auditd.service;cactid.service;crond.service;dbus.service;getty@tty1.service;gssproxy.service;httpd.service;irqbalance.service;konea.service;kschedulerconsole.service;lvm2-lvmetad.service;mariadb.service;netbackup.service;polkit.service;qualys-cloud-agent.service;rpcbind.service;rsyslog.service;sshd.service;systemd-journald.service;systemd-logind.service;systemd-udevd.service;traps_pmd.service;tuned.service;vgauthd.service;vmtoolsd.service;vxpbx_exchanged.service;zabbix-agent.service,rpm,796,GeoIP;NetworkManager;NetworkManager-libnm;NetworkManager-team;NetworkManager-tui;NetworkManager-wifi;VRTSnbcfg;VRTSnbclt;VRTSnbjava;VRTSnbjre;VRTSnbpck;VRTSpbx;VRTSpddea;acl;adobe-mappings-cmap;adobe-mappings-cmap-deprecated;adobe-mappings-pdf;aic94xx-firmware;alsa-firmware;alsa-lib;alsa-tools-firmware;ampagent;apr;apr-util;at;atk;atop;audit;audit-libs;augeas-libs,yes,2.7.5,yes,3.0.32,yes,7.2.0
algargedhmg-rabbit01,10.51.10.150,ok,,2025-09-11 07:40:21,linux,centos,CentOS Linux 7 (Core),7,3.10.0-1160.36.2.el7.x86_64,systemd,29,auditd.service;crond.service;dbus.service;getty@tty1.service;gssproxy.service;irqbalance.service;konea.service;kschedulerconsole.service;lvm2-lvmetad.service;netbackup.service;ntpd.service;oddjobd.service;polkit.service;qualys-cloud-agent.service;rpc-gssd.service;rpc-statd.service;rpcbind.service;rsyslog.service;sshd.service;sssd.service;systemd-journald.service;systemd-logind.service;systemd-udevd.service;traps_pmd.service;tuned.service;vgauthd.service;vmtoolsd.service;vxpbx_exchanged.service;zabbix-agent.service,rpm,491,GeoIP;NetworkManager;NetworkManager-libnm;NetworkManager-team;NetworkManager-tui;NetworkManager-wifi;VRTSnbcfg;VRTSnbclt;VRTSnbjava;VRTSnbjre;VRTSnbpck;VRTSpbx;VRTSpddea;acl;aic94xx-firmware;alsa-firmware;alsa-lib;alsa-tools-firmware;ampagent;audit;audit-libs;augeas-libs;authconfig;autofs;autogen-libopts;avahi-libs;basesystem;bash;bc;bind-export-libs,yes,2.7.5,yes,5.0.15,yes,7.2.0
jbosseap04hom_NEW,10.11.152.79,ok,,2025-09-11 07:40:20,linux,centos,CentOS Linux 7 (Core),7,3.10.0-1160.41.1.el7.x86_64,systemd,29,atd.service;auditd.service;crond.service;dbus.service;getty@tty1.service;gssproxy.service;irqbalance.service;konea.service;kschedulerconsole.service;lvm2-lvmetad.service;netbackup.service;ntpd.service;oddjobd.service;polkit.service;qualys-cloud-agent.service;rpc-gssd.service;rpcbind.service;rsyslog.service;sshd.service;sssd.service;systemd-journald.service;systemd-logind.service;systemd-udevd.service;traps_pmd.service;tuned.service;vgauthd.service;vmtoolsd.service;vxpbx_exchanged.service;zabbix-agent.service,rpm,729,GeoIP;NetworkManager;NetworkManager-libnm;NetworkManager-team;NetworkManager-tui;NetworkManager-wifi;VRTSnbcfg;VRTSnbclt;VRTSnbjava;VRTSnbjre;VRTSnbpck;VRTSpbx;VRTSpddea;acl;adobe-mappings-cmap;adobe-mappings-cmap-deprecated;adobe-mappings-pdf;aic94xx-firmware;alsa-firmware;alsa-lib;alsa-tools-firmware;ampagent;apr;apr-util;at;atk;atop;audit;audit-libs;augeas-libs,yes,2.7.5,yes,5.0.15,yes,7.2.0
portal-ponderacoes-b2b-prd01,10.11.137.221,ok,,2025-09-11 07:40:19,linux,centos,CentOS Linux 7 (Core),7,3.10.0-1062.12.1.el7.x86_64,systemd,41,abrt-oops.service;abrtd.service;atd.service;auditd.service;crond.service;dbus.service;firewalld.service;getty@tty1.service;gssproxy.service;irqbalance.service;konea.service;kschedulerconsole.service;libstoragemgmt.service;lvm2-lvmetad.service;mcelog.service;netbackup.service;NetworkManager.service;nrpe.service;ntpd.service;oddjobd.service;polkit.service;qualys-cloud-agent.service;rhsmcertd.service;rngd.service;rpc-gssd.service;rpcbind.service;rsyslog.service;sendmail.service;sm-client.service;smartd.service;sshd.service;sssd.service;systemd-journald.service;systemd-logind.service;systemd-udevd.service;traps_pmd.service;tuned.service;vgauthd.service;vmtoolsd.service;vxpbx_exchanged.service;zabbix-agent.service,rpm,965,GeoIP;NetworkManager;NetworkManager-libnm;NetworkManager-team;NetworkManager-tui;NetworkManager-wifi;SDL;VRTSnbcfg;VRTSnbclt;VRTSnbjava;VRTSnbjre;VRTSnbpck;VRTSpbx;VRTSpddea;abrt;abrt-addon-ccpp;abrt-addon-kerneloops;abrt-addon-pstoreoops;abrt-addon-python;abrt-addon-vmcore;abrt-addon-xorg;abrt-cli;abrt-console-notification;abrt-dbus;abrt-libs;abrt-python;abrt-retrace-client;abrt-tui;acl;adobe-mappings-cmap,yes,2.7.5,yes,6.0.9,yes,7.2.0
xdsl2-des,10.32.14.70,ok,,2025-09-11 07:40:20,linux,centos,CentOS Linux 7 (Core),7,3.10.0-862.3.2.el7.x86_64,systemd,32,abrt-oops.service;abrtd.service;auditd.service;chronyd.service;crond.service;dbus.service;getty@tty1.service;gssproxy.service;httpd.service;irqbalance.service;konea.service;kschedulerconsole.service;libstoragemgmt.service;lvm2-lvmetad.service;netbackup.service;NetworkManager.service;nrpe.service;polkit.service;qualys-cloud-agent.service;rpcbind.service;rsyslog.service;smartd.service;sshd.service;systemd-journald.service;systemd-logind.service;systemd-udevd.service;traps_pmd.service;tuned.service;vgauthd.service;vmtoolsd.service;vxpbx_exchanged.service;zabbix-agent.service,rpm,929,GeoIP;NetworkManager;NetworkManager-libnm;NetworkManager-team;NetworkManager-tui;NetworkManager-wifi;SDL;VRTSnbcfg;VRTSnbclt;VRTSnbjava;VRTSnbjre;VRTSnbpck;VRTSpbx;VRTSpddea;abrt;abrt-addon-ccpp;abrt-addon-kerneloops;abrt-addon-pstoreoops;abrt-addon-python;abrt-addon-vmcore;abrt-addon-xorg;abrt-cli;abrt-console-notification;abrt-dbus;abrt-libs;abrt-python;abrt-retrace-client;abrt-tui;acl;adwaita-cursor-theme,yes,2.7.5,yes,5.0.5,yes,7.2.0
algargedtit_NEW,10.51.10.145,ok,,2025-09-11 07:40:20,linux,centos,CentOS Linux 7 (Core),7,3.10.0-1160.41.1.el7.x86_64,systemd,23,atd.service;auditd.service;crond.service;dbus.service;getty@tty1.service;gssproxy.service;irqbalance.service;lvm2-lvmetad.service;netbackup.service;polkit.service;qualys-cloud-agent.service;rpcbind.service;rsyslog.service;sshd.service;systemd-journald.service;systemd-logind.service;systemd-udevd.service;traps_pmd.service;tuned.service;vgauthd.service;vmtoolsd.service;vxpbx_exchanged.service;zabbix-agent2.service,rpm,728,GeoIP;NetworkManager;NetworkManager-libnm;NetworkManager-team;NetworkManager-tui;NetworkManager-wifi;VRTSnbcfg;VRTSnbclt;VRTSnbjava;VRTSnbjre;VRTSnbpck;VRTSpbx;VRTSpddea;acl;adobe-mappings-cmap;adobe-mappings-cmap-deprecated;adobe-mappings-pdf;aic94xx-firmware;alsa-firmware;alsa-lib;alsa-tools-firmware;apr;apr-util;at;atk;atop;audit;audit-libs;augeas-libs;authconfig,yes,2.7.5,yes,5.0.0,yes,7.2.0
